 ,231225,
絶,3897,5年生
清,3894,4年生
激,3888,6年生
憲,3886,6年生
援,3849,中学校
滅,3847,中学校
幅,3844,中学校
夫,3840,4年生
毎,3836,2年生
薬,3831,3年生
習,3808,3年生
距,3784,中学校
宿,3776,3年生
望,3735,4年生
功,3733,4年生
突,3714,中学校
均,3713,5年生
私,3703,6年生
早,3695,1年生
察,3693,4年生
歩,3686,2年生
弾,3676,中学校
休,3664,1年生
佐,3658,中学校
欧,3645,中学校
鮮,3640,中学校
若,3640,6年生
芸,3638,4年生
承,3630,5年生
就,3623,6年生
池,3620,2年生
圏,3614,中学校
便,3612,4年生
盤,3611,中学校
掲,3607,中学校
律,3605,6年生
沿,3586,6年生
華,3552,中学校
散,3547,4年生
板,3545,3年生
久,3541,5年生
財,3536,5年生
額,3513,5年生
候,3511,4年生
景,3493,4年生
況,3491,中学校
筆,3489,3年生
被,3481,中学校
遠,3481,2年生
林,3471,1年生
居,3455,5年生
搭,3444,中学校
獲,3436,中学校
艦,3430,中学校
縮,3390,6年生
待,3372,3年生
頼,3349,中学校
春,3347,2年生
庁,3344,6年生
批,3342,6年生
血,3338,3年生
宣,3334,6年生
株,3329,6年生
閣,3308,6年生
湾,3306,中学校
爆,3293,中学校
尾,3289,中学校
範,3286,中学校
永,3286,5年生
秋,3278,2年生
亡,3277,6年生
刑,3264,中学校
章,3261,3年生
豊,3260,5年生
禁,3258,5年生
傾,3251,中学校
故,3241,5年生
邦,3237,中学校
塩,3234,4年生
純,3232,6年生
輪,3224,4年生
志,3198,5年生
舞,3193,中学校
覚,3189,4年生
警,3186,6年生
否,3172,6年生
九,3154,1年生
操,3151,6年生
避,3138,中学校
冷,3125,4年生
軽,3124,3年生
砲,3118,中学校
徒,3084,4年生
震,3083,中学校
液,3079,5年生
森,3053,1年生
詳,3050,中学校
険,3041,5年生
庫,3038,3年生
甲,3026,中学校
草,3022,1年生
弟,3018,2年生
岩,2999,2年生
絵,2989,2年生
泉,2984,6年生
税,2974,5年生
倉,2961,4年生
宝,2954,6年生
跡,2946,中学校
執,2931,中学校
維,2929,中学校
撮,2886,中学校
康,2884,4年生
雄,2882,中学校
依,2868,中学校
友,2868,2年生
厳,2867,6年生
携,2861,中学校
羽,2858,2年生
養,2857,4年生
胞,2848,中学校
賀,2844,5年生
療,2838,中学校
夏,2838,2年生
百,2834,1年生
塚,2805,中学校
六,2805,1年生
詞,2783,6年生
玉,2783,1年生
釈,2782,中学校
臨,2780,6年生
背,2775,6年生
倍,2767,3年生
戻,2765,中学校
脱,2755,中学校
週,2753,2年生
折,2746,4年生
抜,2743,中学校
倒,2740,中学校
既,2734,中学校
鳥,2726,2年生
秀,2722,中学校
燃,2709,5年生
敵,2705,5年生
善,2699,6年生
焼,2695,4年生
融,2690,中学校
韓,2674,
契,2662,中学校
刻,2657,6年生
遊,2654,3年生
姿,2649,6年生
濃,2647,中学校
伸,2644,中学校
ヶ,2639,
児,2618,4年生
服,2608,3年生
魔,2605,中学校
